Method,Year,Date ,Enter by,Electronic Enter by ,Time to Start,Observe Intervals ,Block,H-ID,HP,Source,Source ID,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Note
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,31,Qv-F,KRE,43,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,32,Qv-T,Rice,TIP4G32,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,Qg,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,33,Qv-T,Rice,TIP4G32,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,34,Qv-F,KRE,57,M,NA,C,C,Qv,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,35,Qv-T,Rice,TIP4G32,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,36,Qv-F,KRE,43,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,37,Qv-T,Rice,,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,Qg,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,38,Qv-F,KRE,43,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,39,Qv-F,KRE,33,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,40,Qv-T,Rice,,M,NA,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,41,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,42,Qv-T,Rice,P4G39,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,43,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,44,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,45,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,Qv,Qv,Qv,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,46,Qv-T,Rice,P4G12,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,47,Qv-T,Rice,,F,NA,Qv,Qv,C,C,C,C,C,C,Qv,Qg,Qv,Qg,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,48,Qv-T,Rice,P4G12,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,49,Qv-F,KRE,52,F,NA,Qg,Qg,Qg,Qg,Qg,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,50,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,51,Qv-F,KRE,58,F,NA,Qv,Qv,Qv,Qv,C,C,Qv,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,52,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,53,Qv-T,Rice,P4G10,M,NA,C,Qv,Qv,Qv,Qv,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,54,Qv-T,Rice,,F,NA,C,C,Qv,Qv,C,C,C,Qg,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,55,Qv-F,KRE,58,F,NA,C,C,C,Qv,C,C,C,C,C,C,Qv,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,56,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,57,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,58,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,59,Qv-T,Rice,P4G10,M,NA,Qg,C,Qv,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,60,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,61,Qv-F,KRE,58,F,NA,Qv,Qv,C,Qv,Qv,C,C,C,Qv,Qv,Qg,Qv,C,Qv,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,62,Qv-F,KRE,52,F,NA,C,C,C,Qv,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,63,Qv-F,KRE,63,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
